"feature","method","group1","group2","p_values","adj_method","p_adjust","description"
"K01142","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0004991198416102,"BH",0.00152388710908769,"E3.1.11.2, xthA; exodeoxyribonuclease III [EC:3.1.11.2]"
"K01144","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.595973829625566,"BH",0.641183049940253,"E3.1.11.5; exodeoxyribonuclease V [EC:3.1.11.5]"
"K01146","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.25094093305876e-06,"BH",1.14383822415107e-05,"xni; protein Xni"
"K01147","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0102568219391829,"BH",0.0223761400275265,"rnb; exoribonuclease II [EC:3.1.13.1]"
"K01150","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0988826131426984,"BH",0.154434896834244,"endA; deoxyribonuclease I [EC:3.1.21.1]"
"K01151","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.361427868088255,"BH",0.445898015926964,"nfo; deoxyribonuclease IV [EC:3.1.21.2]"
"K01153","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",2.82062672625794e-06,"BH",1.95853776543416e-05,"hsdR; type I restriction enzyme, R subunit [EC:3.1.21.3]"
"K01154","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",5.34667740308401e-06,"BH",3.17500447722449e-05,"hsdS; type I restriction enzyme, S subunit [EC:3.1.21.3]"
"K01155","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00011081873449483,"BH",0.000414645248498444,"E3.1.21.4; type II restriction enzyme [EC:3.1.21.4]"
"K01156","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.14094769921972,"BH",0.208395906102737,"res; type III restriction enzyme [EC:3.1.21.5]"
"K01159","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000316978227621751,"BH",0.00103036764813233,"ruvC; crossover junction endodeoxyribonuclease RuvC [EC:3.1.22.4]"
"K01160","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.603658072034604,"BH",0.648022390142675,"rusA; crossover junction endodeoxyribonuclease RusA [EC:3.1.22.4]"
"K01163","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.281154863421592,"BH",0.367701290673427,"K01163; uncharacterized protein"
"K01166","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0249673506979407,"BH",0.0483366778168006,"RNASET2; ribonuclease T2 [EC:4.6.1.19]"
"K01167","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.540402472338794,"BH",0.597910706629116,"rnaSA; ribonuclease T1 [EC:4.6.1.24]"
"K01169","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.390639164381072,"BH",0.471970542189645,"rna; ribonuclease I (enterobacter ribonuclease) [EC:4.6.1.21]"
"K01170","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0264557193243033,"BH",0.0508509200902397,"endA; tRNA-intron endonuclease, archaea type [EC:4.6.1.16]"
"K01173","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000616312188295233,"BH",0.00183218530949607,"ENDOG; endonuclease G, mitochondrial"
"K01174","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000855313414015561,"BH",0.00246445626900332,"nuc; micrococcal nuclease [EC:3.1.31.1]"
"K01175","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",3.35141068533781e-06,"BH",2.24941025478343e-05,"ybfF; esterase [EC:3.1.-.-]"
"K01176","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",4.35393456321237e-05,"BH",0.000183555329473449,"AMY, amyA, malS; alpha-amylase [EC:3.2.1.1]"
"K01178","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.11153063185152e-06,"BH",1.10281907102134e-05,"SGA1; glucoamylase [EC:3.2.1.3]"
"K01179","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.96174603463159e-06,"BH",1.52132681710058e-05,"E3.2.1.4; endoglucanase [EC:3.2.1.4]"
"K01181","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.31563312063518e-06,"BH",1.15525600676456e-05,"E3.2.1.8, xynA; endo-1,4-beta-xylanase [EC:3.2.1.8]"
"K01182","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",6.47116465959432e-05,"BH",0.000259911172814258,"IMA, malL; oligo-1,6-glucosidase [EC:3.2.1.10]"
"K01183","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0244260726163848,"BH",0.0474230708337422,"E3.2.1.14; chitinase [EC:3.2.1.14]"
"K01185","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.0623656208855e-06,"BH",1.08145997016245e-05,"E3.2.1.17; lysozyme [EC:3.2.1.17]"
"K01186","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00146733174681804,"BH",0.00400266553122431,"NEU1; sialidase-1 [EC:3.2.1.18]"
"K01187","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0357586405932159,"BH",0.0659773460445949,"malZ; alpha-glucosidase [EC:3.2.1.20]"
"K01188","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.382656777425178,"BH",0.464708070790285,"E3.2.1.21; beta-glucosidase [EC:3.2.1.21]"
"K01190","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.80408883951448,"BH",0.821023346814187,"lacZ; beta-galactosidase [EC:3.2.1.23]"
"K01191","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",5.19724702914753e-06,"BH",3.10834476738867e-05,"MAN2C1; alpha-mannosidase [EC:3.2.1.24]"
"K01192","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0314729825575391,"BH",0.059082605729325,"E3.2.1.25, MANBA, manB; beta-mannosidase [EC:3.2.1.25]"
"K01193","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",6.73346806694779e-05,"BH",0.000269417545833509,"INV, sacA; beta-fructofuranosidase [EC:3.2.1.26]"
"K01194","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.142564339825114,"BH",0.210353944969669,"TREH, treA, treF; alpha,alpha-trehalase [EC:3.2.1.28]"
"K01195","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00116049889382122,"BH",0.00323935093432497,"uidA, GUSB; beta-glucuronidase [EC:3.2.1.31]"
"K01197","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0438706766828244,"BH",0.0786107328450295,"hya; hyaluronoglucosaminidase [EC:3.2.1.35]"
"K01198","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.219261251625714,"BH",0.300314549411617,"xynB; xylan 1,4-beta-xylosidase [EC:3.2.1.37]"
"K01200","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000845794888542755,"BH",0.00243960078399927,"pulA; pullulanase [EC:3.2.1.41]"
"K01201","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00960301461024065,"BH",0.0211081054262396,"GBA, srfJ; glucosylceramidase [EC:3.2.1.45]"
"K01205","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00500085429165242,"BH",0.0118249186917108,"NAGLU; alpha-N-acetylglucosaminidase [EC:3.2.1.50]"
"K01206","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0069500459279657,"BH",0.0159075687453623,"FUCA; alpha-L-fucosidase [EC:3.2.1.51]"
"K01207","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.111739335808168,"BH",0.170760359094315,"nagZ; beta-N-acetylhexosaminidase [EC:3.2.1.52]"
"K01208","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0750435400943498,"BH",0.12406230715477,"cd, ma, nplT; cyclomaltodextrinase / maltogenic alpha-amylase / neopullulanase [EC:3.2.1.54 3.2.1.133 3.2.1.135]"
"K01209","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.201249913185195,"BH",0.280420792200161,"abfA; alpha-L-arabinofuranosidase [EC:3.2.1.55]"
"K01210","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.63316147803667e-06,"BH",1.3330497747891e-05,"E3.2.1.58; glucan 1,3-beta-glucosidase [EC:3.2.1.58]"
"K01212","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000362597763904651,"BH",0.00115719809246134,"sacC, levB; levanase [EC:3.2.1.65]"
"K01214","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.355310783223119,"BH",0.44002267070287,"ISA, treX; isoamylase [EC:3.2.1.68]"
"K01215","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0337765318604886,"BH",0.0628545996456513,"dexB; glucan 1,6-alpha-glucosidase [EC:3.2.1.70]"
"K01216","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00128628499080265,"BH",0.00355131025732104,"E3.2.1.73; licheninase [EC:3.2.1.73]"
"K01218","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0227192826860142,"BH",0.0445330513094173,"gmuG; mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]"
"K01219","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.552531987344241,"BH",0.606764444254655,"E3.2.1.81; beta-agarase [EC:3.2.1.81]"
"K01220","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.94161905979291e-06,"BH",1.51091765219394e-05,"E3.2.1.85, lacG; 6-phospho-beta-galactosidase [EC:3.2.1.85]"
"K01222","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0713463861183817,"BH",0.118957047684209,"E3.2.1.86A, celF; 6-phospho-beta-glucosidase [EC:3.2.1.86]"
"K01223","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0226110906665931,"BH",0.0443695205508586,"E3.2.1.86B, bglA; 6-phospho-beta-glucosidase [EC:3.2.1.86]"
"K01224","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.219004405533721,"BH",0.299992809583913,"E3.2.1.89; arabinogalactan endo-1,4-beta-galactosidase [EC:3.2.1.89]"
"K01226","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00422042590468244,"BH",0.0101621199509268,"treC; trehalose-6-phosphate hydrolase [EC:3.2.1.93]"
"K01227","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0269456141770228,"BH",0.0516400949016338,"ENGASE; mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [EC:3.2.1.96]"
"K01232","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.145343907047121,"BH",0.213809113099659,"glvA; maltose-6'-phosphate glucosidase [EC:3.2.1.122]"
"K01235","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.128243670902086,"BH",0.192421802960197,"aguA; alpha-glucuronidase [EC:3.2.1.139]"
"K01236","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00443543202126316,"BH",0.0106116180602577,"treZ, glgZ; maltooligosyltrehalose trehalohydrolase [EC:3.2.1.141]"
"K01239","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0878527881906301,"BH",0.141125992262048,"iunH; purine nucleosidase [EC:3.2.2.1]"
"K01241","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.489316407123662,"BH",0.557030301265171,"amn; AMP nucleosidase [EC:3.2.2.4]"
"K01243","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.14888015254232e-05,"BH",6.06463441344368e-05,"mtnN, mtn, pfs; adenosylhomocysteine nucleosidase [EC:3.2.2.9]"
"K01246","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.828898406463061,"BH",0.842767830234474,"tag; DNA-3-methyladenine glycosylase I [EC:3.2.2.20]"
"K01247","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.009097623353753,"BH",0.0201331671240711,"alkA; DNA-3-methyladenine glycosylase II [EC:3.2.2.21]"
"K01250","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",8.87813395012616e-05,"BH",0.000343274455220941,"rihA; pyrimidine-specific ribonucleoside hydrolase [EC:3.2.-.-]"
"K01251","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.97060136324809e-05,"BH",9.19210571079081e-05,"E3.3.1.1, ahcY; adenosylhomocysteinase [EC:3.3.1.1]"
"K01252","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",9.15835725488952e-07,"BH",1.06342951481985e-05,"entB, dhbB, vibB, mxcF; bifunctional isochorismate lyase / aryl carrier protein [EC:3.3.2.1 6.3.2.14]"
"K01253","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",9.6273468079709e-07,"BH",1.06406698107177e-05,"EPHX1; microsomal epoxide hydrolase [EC:3.3.2.9]"
"K01255","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0017674375882169,"BH",0.00471662590937035,"CARP, pepA; leucyl aminopeptidase [EC:3.4.11.1]"
"K01256","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.71916561342675,"BH",0.748966504172038,"pepN; aminopeptidase N [EC:3.4.11.2]"
"K01258","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00218116668583644,"BH",0.00566076517250491,"pepT; tripeptide aminopeptidase [EC:3.4.11.4]"
"K01259","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0975799950725669,"BH",0.152784435711422,"pip; proline iminopeptidase [EC:3.4.11.5]"
"K01261","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",7.13919630951103e-06,"BH",4.07545269075719e-05,"pepA; glutamyl aminopeptidase [EC:3.4.11.7]"
"K01262","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000150535300595808,"BH",0.000536247688834261,"pepP; Xaa-Pro aminopeptidase [EC:3.4.11.9]"
"K01263","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0147374495054627,"BH",0.0304911935372679,"E3.4.11.14; cytosol alanyl aminopeptidase [EC:3.4.11.14]"
"K01265","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000168844396333803,"BH",0.000590441138258068,"map; methionyl aminopeptidase [EC:3.4.11.18]"
"K01266","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",9.65226125086788e-07,"BH",1.06487232995969e-05,"dmpA, dap; D-aminopeptidase [EC:3.4.11.19]"
"K01267","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.17143262227914e-06,"BH",1.13346261937724e-05,"DNPEP; aspartyl aminopeptidase [EC:3.4.11.21]"
"K01269","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.554220549796241,"BH",0.60788635032605,"E3.4.11.-; aminopeptidase [EC:3.4.11.-]"
"K01270","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",6.70843399660071e-05,"BH",0.000268573088145022,"pepD; dipeptidase D [EC:3.4.13.-]"
"K01271","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000189028966926591,"BH",0.000652294922009471,"pepQ; Xaa-Pro dipeptidase [EC:3.4.13.9]"
"K01273","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.196507962431043,"BH",0.27532863930695,"DPEP; membrane dipeptidase [EC:3.4.13.19]"
"K01274","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.2901167292421e-06,"BH",1.14863032934611e-05,"E3.4.13.-; D-alanyl-D-alanine dipeptidase [EC:3.4.13.-]"
"K01277","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.212799587357249,"BH",0.293138131823508,"DPP3; dipeptidyl-peptidase III [EC:3.4.14.4]"
"K01278","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0324900969791848,"BH",0.0607002741048668,"DPP4, CD26; dipeptidyl-peptidase 4 [EC:3.4.14.5]"
"K01281","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.425446171266234,"BH",0.502132256004139,"pepX; X-Pro dipeptidyl-peptidase [EC:3.4.14.11]"
"K01283","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00101028720894727,"BH",0.00286153857897804,"ACE, CD143; peptidyl-dipeptidase A [EC:3.4.15.1]"
"K01284","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0754444340059754,"BH",0.124614835440746,"dcp; peptidyl-dipeptidase Dcp [EC:3.4.15.5]"
"K01286","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.106529278913586,"BH",0.163850635764039,"E3.4.16.4; D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4]"
"K01295","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000462146032223035,"BH",0.00142435990814999,"cpg; glutamate carboxypeptidase [EC:3.4.17.11]"
"K01297","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",9.26440377544729e-07,"BH",1.06342951481985e-05,"ldcA; muramoyltetrapeptide carboxypeptidase [EC:3.4.17.13]"
"K01299","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",2.49885748134825e-06,"BH",1.7868399312235e-05,"E3.4.17.19; carboxypeptidase Taq [EC:3.4.17.19]"
"K01301","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.160691485476185,"BH",0.232508624132755,"NAALAD; N-acetylated-alpha-linked acidic dipeptidase [EC:3.4.17.21]"
"K01303","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.12498665996039e-06,"BH",1.1112230332087e-05,"APEH; acylaminoacyl-peptidase [EC:3.4.19.1]"
"K01304","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0380537372751415,"BH",0.0697226877547219,"pcp; pyroglutamyl-peptidase [EC:3.4.19.3]"
"K01305","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00287632899147216,"BH",0.00717874588744202,"iadA; beta-aspartyl-dipeptidase (metallo-type) [EC:3.4.19.-]"
"K01308","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.234534376549528,"BH",0.316949164788621,"yqgT; g-D-glutamyl-meso-diaminopimelate peptidase [EC:3.4.19.11]"
"K01318","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.2433101856518e-06,"BH",1.14383822415107e-05,"sspA; glutamyl endopeptidase [EC:3.4.21.19]"
"K01322","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.088200468251853,"BH",0.141518225787975,"PREP; prolyl oligopeptidase [EC:3.4.21.26]"
"K01338","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00177709260379395,"BH",0.00473706572023219,"lon; ATP-dependent Lon protease [EC:3.4.21.53]"
"K01342","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.348062544838273,"BH",0.433003740948942,"aprE; subtilisin [EC:3.4.21.62]"
"K01347","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.116284959828046,"BH",0.176717568640678,"iga; IgA-specific serine endopeptidase [EC:3.4.21.72]"
"K01354","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00755517756093753,"BH",0.0171272405261379,"ptrB; oligopeptidase B [EC:3.4.21.83]"
"K01355","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.196291151800704,"BH",0.275171627029862,"ompT; omptin [EC:3.4.23.49]"
"K01356","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",2.07126558064211e-05,"BH",9.58180968387634e-05,"lexA; repressor LexA [EC:3.4.21.88]"
"K01358","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000542221239486778,"BH",0.00163684009411862,"clpP, CLPP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"
"K01361","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0343977912485962,"BH",0.0638022794669389,"E3.4.21.96; lactocepin [EC:3.4.21.96]"
"K01372","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.51947351230753,"BH",0.581817142645085,"BLMH, pepC; bleomycin hydrolase [EC:3.4.22.40]"
"K01387","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",9.87386278309659e-05,"BH",0.000374571176388725,"colA; microbial collagenase [EC:3.4.24.3]"
"K01389","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.177963191755068,"BH",0.253678271234111,"MME, CD10; neprilysin [EC:3.4.24.11]"
"K01392","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.11174611855009,"BH",0.170760359094315,"THOP1; thimet oligopeptidase [EC:3.4.24.15]"
"K01399","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.287460332682029,"BH",0.374514738748685,"lasB; pseudolysin [EC:3.4.24.26]"
"K01401","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.25843987625882e-06,"BH",1.14383822415107e-05,"aur; aureolysin [EC:3.4.24.29]"
"K01406","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000474290425874062,"BH",0.0014578752727759,"prtC; serralysin [EC:3.4.24.40]"
"K01407","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.06652335742091e-06,"BH",1.08159205793927e-05,"ptrA; protease III [EC:3.4.24.55]"
"K01408","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",8.38289078107332e-07,"BH",1.05491763275985e-05,"IDE, ide; insulysin [EC:3.4.24.56]"
"K01409","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000110496113673111,"BH",0.000413551291031692,"KAE1, tsaD, QRI7; N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]"
"K01414","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00083982200515037,"BH",0.00242441859257092,"prlC; oligopeptidase A [EC:3.4.24.70]"
"K01415","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00070891114152498,"BH",0.00207586916404573,"ECE; endothelin-converting enzyme [EC:3.4.24.71]"
"K01416","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.396692163639181,"BH",0.477721770569443,"snpA; snapalysin [EC:3.4.24.77]"
"K01419","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.30906255160797e-05,"BH",6.71665902351356e-05,"hslV, clpQ; ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]"
"K01420","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.53679730153713e-05,"BH",7.52815933594255e-05,"fnr; CRP/FNR family transcriptional regulator, anaerobic regulatory protein"
"K01421","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0097344852623242,"BH",0.0213593135141224,"yhgE; putative membrane protein"
"K01424","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.39245088589468,"BH",0.473824488868957,"E3.5.1.1, ansA, ansB; L-asparaginase [EC:3.5.1.1]"
"K01425","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.106997740383603,"BH",0.164330836500182,"glsA, GLS; glutaminase [EC:3.5.1.2]"
"K01426","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00151468762466124,"BH",0.00411951645203273,"E3.5.1.4, amiE; amidase [EC:3.5.1.4]"
"K01428","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",5.68906057133182e-05,"BH",0.000232665134039682,"ureC; urease subunit alpha [EC:3.5.1.5]"
"K01429","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",2.37289326751571e-05,"BH",0.000107781384563039,"ureB; urease subunit beta [EC:3.5.1.5]"
"K01430","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",2.34354850854939e-05,"BH",0.000106590481257418,"ureA; urease subunit gamma [EC:3.5.1.5]"
"K01432","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00219495630253263,"BH",0.00568253031021135,"AFMID; arylformamidase [EC:3.5.1.9]"
"K01433","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0853049282559838,"BH",0.137794066530696,"purU; formyltetrahydrofolate deformylase [EC:3.5.1.10]"
"K01434","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00101812766633828,"BH",0.00288195475241758,"pac; penicillin G amidase [EC:3.5.1.11]"
"K01436","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0238265583843534,"BH",0.0464371641098901,"yhaA; amidohydrolase [EC:3.5.1.-]"
"K01437","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.09346813293779e-06,"BH",1.09341010325828e-05,"ASPA, aspA; aspartoacylase [EC:3.5.1.15]"
"K01438","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0267257057554391,"BH",0.0513193608270174,"argE; acetylornithine deacetylase [EC:3.5.1.16]"
"K01439","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0524178043255615,"BH",0.0916323003118625,"dapE; succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]"
"K01442","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.215047721961032,"BH",0.295609536964733,"cbh; choloylglycine hydrolase [EC:3.5.1.24]"
"K01443","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.303521894724242,"BH",0.391485975912248,"nagA, AMDHD2; N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]"
"K01444","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00651218201992803,"BH",0.0149965559333765,"AGA, aspG; N4-(beta-N-acetylglucosaminyl)-L-asparaginase [EC:3.5.1.26]"
"K01446","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.25834031834959e-06,"BH",1.14383822415107e-05,"PGRP; peptidoglycan recognition protein"
"K01447","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0746424170441746,"BH",0.123518654784308,"xlyAB; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]"
"K01448","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000193401915847481,"BH",0.000665205281375287,"amiABC; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]"
"K01449","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.384121013107683,"BH",0.46582266536131,"cwlJ, sleB; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]"
"K01451","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",6.29370180685336e-05,"BH",0.000254159278231768,"hipO; hippurate hydrolase [EC:3.5.1.32]"
"K01452","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.18229258240349,"BH",0.258886900033294,"E3.5.1.41; chitin deacetylase [EC:3.5.1.41]"
"K01453","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0786050262209714,"BH",0.128874915276786,"nylB; 6-aminohexanoate-oligomer exohydrolase [EC:3.5.1.46]"
"K01455","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0547882861293017,"BH",0.0952040477834028,"E3.5.1.49; formamidase [EC:3.5.1.49]"
"K01457","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0562783396167106,"BH",0.0973724954745213,"atzF; allophanate hydrolase [EC:3.5.1.54]"
"K01458","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",8.3959382674898e-07,"BH",1.05491763275985e-05,"hutG; N-formylglutamate deformylase [EC:3.5.1.68]"
"K01459","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.40995902538276e-06,"BH",1.19658347579349e-05,"E3.5.1.77; N-carbamoyl-D-amino-acid hydrolase [EC:3.5.1.77]"
"K01460","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.58279410071646,"BH",0.630526307271935,"gsp; glutathionylspermidine amidase/synthetase [EC:3.5.1.78 6.3.1.8]"
"K01461","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.278817287460825,"BH",0.365063201892779,"E3.5.1.82; N-acyl-D-glutamate deacylase [EC:3.5.1.82]"
