,Kingdom,Phylum,Class,Order,Family,Genus,Species
Seq763,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,uncultured marine group II euryarchaeote HF500_22F05,NA,NA
Seq764,Bacteria,NA,NA,NA,NA,NA,NA
Seq765,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,NA,NA
Seq766,Bacteria,NA,NA,NA,NA,NA,NA
Seq767,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
Seq768,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,NA
Seq769,Bacteria,Nitrospinota,P9X2b3D02,Candidatus Tectomicrobia bacterium RIFCSPLOWO2_02_FULL_70_19,NA,NA,NA
Seq770,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Seq771,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Seq772,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,NA
Seq773,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq774,Bacteria,PAUC34f,hydrothermal vent metagenome,NA,NA,NA,NA
Seq775,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,uncultured,bioreactor metagenome
Seq776,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq777,Bacteria,NA,NA,NA,NA,NA,NA
Seq778,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Seq779,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Seq780,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina,uncultured bacterium HF0770_08F21
Seq781,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,NA,NA
Seq783,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Ulvibacter,NA
Seq784,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA,NA
Seq785,Archaea,Thermoplasmatota,NA,NA,NA,NA,NA
Seq786,Bacteria,Proteobacteria,Alphaproteobacteria,AT-s3-44,uncultured bacterium KM3-69-D9,NA,NA
Seq787,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Lentimonas,seawater metagenome
Seq788,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Arctic97B-4 marine group,uncultured verrucomicrobium HF0500_16O23,NA,NA
Seq789,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
Seq790,Bacteria,NA,NA,NA,NA,NA,NA
Seq791,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,uncultured marine bacterium
Seq792,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,NA
Seq793,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
Seq794,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,uncultured marine microorganism
Seq795,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae1,Alcanivorax,NA
Seq796,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
Seq797,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Candidatus Endoecteinascidia,NA
Seq798,Bacteria,NA,NA,NA,NA,NA,NA
Seq799,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,MB11C04 marine group,NA
Seq800,Bacteria,NA,NA,NA,NA,NA,NA
Seq801,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,Arctic95B-14,uncultured Verrucomicrobia bacterium,NA
Seq802,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Seq803,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Candidatus Endoecteinascidia,marine metagenome
Seq804,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,NA,NA
Seq805,Bacteria,NA,NA,NA,NA,NA,NA
Seq807,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq808,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NA,NA,NA
Seq809,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Seq810,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,SAR11 cluster bacterium PRT-SC02,NA
Seq811,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
Seq812,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,NA,NA,NA
Seq813,Bacteria,NA,NA,NA,NA,NA,NA
Seq814,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,marine metagenome
Seq815,Bacteria,NA,NA,NA,NA,NA,NA
Seq816,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA,NA
Seq817,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,NA,NA
Seq818,Bacteria,Myxococcota,Polyangia,VHS-B3-70,uncultured marine bacterium,NA,NA
Seq819,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,NA,NA
Seq820,Bacteria,NA,NA,NA,NA,NA,NA
Seq822,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Seq823,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,NA,NA,NA
Seq824,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA
Seq825,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Corethron pennatum,NA,NA
Seq826,Bacteria,Desulfobacterota,Desulfuromonadia,PB19,uncultured deep-sea bacterium,NA,NA
Seq827,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Seq828,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,uncultured,uncultured bacterium AD248-D7-1A,NA
Seq829,Bacteria,NA,NA,NA,NA,NA,NA
Seq830,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Seq831,Bacteria,NA,NA,NA,NA,NA,NA
Seq832,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,NA
Seq833,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
Seq834,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Halarcobacter,Arcobacter sp. JNU-H033
Seq835,Unassigned,NA,NA,NA,NA,NA,NA
Seq836,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
Seq837,Bacteria,NA,NA,NA,NA,NA,NA
Seq838,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,NA,NA
Seq839,Bacteria,NA,NA,NA,NA,NA,NA
Seq840,Bacteria,NA,NA,NA,NA,NA,NA
Seq841,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,seawater metagenome,NA
Seq842,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NA,NA,NA
Seq843,Bacteria,NA,NA,NA,NA,NA,NA
Seq844,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,uncultured marine bacterium
Seq845,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NA,NA,NA
Seq846,Bacteria,NA,NA,NA,NA,NA,NA
Seq847,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq848,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq849,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq850,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,uncultured,alpha proteobacterium LS7-MT
Seq851,Bacteria,NA,NA,NA,NA,NA,NA
Seq852,Bacteria,NA,NA,NA,NA,NA,NA
Seq853,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA
Seq854,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,NA,NA,NA
Seq855,Bacteria,NA,NA,NA,NA,NA,NA
Seq856,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Seq857,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,NA
Seq858,Bacteria,NA,NA,NA,NA,NA,NA
Seq859,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea,NA
Seq860,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,Arctic95B-14,uncultured bacterium AD106-G5,NA
Seq861,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Seq862,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,NA,NA
Seq863,Bacteria,NA,NA,NA,NA,NA,NA
Seq864,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopumilus,NA
Seq865,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
Seq866,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq867,Bacteria,NA,NA,NA,NA,NA,NA
Seq868,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq869,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea,uncultured organism
Seq870,Bacteria,Desulfobacterota,NA,NA,NA,NA,NA
Seq871,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae1,Alcanivorax,NA
Seq872,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Thaumarchaeota archaeon SCGC AAA007-O23,NA
Seq873,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq874,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,NA
Seq875,Bacteria,NA,NA,NA,NA,NA,NA
Seq876,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Kangiellaceae,Aliikangiella,uncultured Methylobacter sp.
Seq877,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
Seq878,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,uncultured,NA
Seq879,Bacteria,NA,NA,NA,NA,NA,NA
Seq880,Bacteria,NA,NA,NA,NA,NA,NA
Seq881,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,uncultured,NA
Seq882,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,uncultured organism,NA,NA
Seq883,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA
Seq884,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,uncultured marine bacterium 440,NA
Seq885,Bacteria,NA,NA,NA,NA,NA,NA
Seq887,Bacteria,Firmicutes,Bacilli,NA,NA,NA,NA
Seq888,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter,NA
Seq889,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Seq890,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,NA
Seq891,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq892,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,hydrothermal vent metagenome,NA,NA
Seq893,Bacteria,NA,NA,NA,NA,NA,NA
Seq895,Bacteria,NB1-j,uncultured marine bacterium,NA,NA,NA,NA
Seq896,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium 405006-B04,NA,NA,NA,NA
Seq899,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,NA,NA
Seq900,Bacteria,NA,NA,NA,NA,NA,NA
Seq901,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,NA
Seq902,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Seq903,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina,uncultured bacterium HF0770_08F21
Seq904,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq905,Bacteria,SAR324 clade(Marine group B),NA,NA,NA,NA,NA
Seq906,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq907,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,Vicingus,uncultured marine bacterium
Seq909,Bacteria,NA,NA,NA,NA,NA,NA
Seq910,Bacteria,NA,NA,NA,NA,NA,NA
Seq911,Bacteria,NA,NA,NA,NA,NA,NA
Seq912,Bacteria,NA,NA,NA,NA,NA,NA
Seq913,Bacteria,NA,NA,NA,NA,NA,NA
Seq914,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Polymorphobacter,NA
Seq915,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter,NA
Seq916,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavicella,uncultured Flavobacteriaceae bacterium
Seq917,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,NA,NA
Seq918,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,Veillonella sp. AS16
Seq919,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Phaeocystis antarctica,NA,NA
Seq920,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA
Seq921,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium AD261-B2,NA,NA,NA,NA
Seq922,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA
Seq923,Bacteria,NA,NA,NA,NA,NA,NA
Seq924,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured,Gemmatimonadetes bacterium SCN 70-22
Seq925,Bacteria,Verrucomicrobiota,Lentisphaeria,Lentisphaerales,Lentisphaeraceae,Lentisphaera,uncultured Lentisphaera sp.
Seq926,Bacteria,Planctomycetota,OM190,hydrothermal vent metagenome,NA,NA,NA
Seq927,Bacteria,NA,NA,NA,NA,NA,NA
Seq928,Bacteria,NA,NA,NA,NA,NA,NA
Seq929,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA
Seq930,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Arctic97B-4 marine group,uncultured verrucomicrobium HF0500_16O23,NA,NA
Seq931,Bacteria,NA,NA,NA,NA,NA,NA
Seq932,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,uncultured,uncultured marine bacterium
Seq933,Bacteria,NA,NA,NA,NA,NA,NA
Seq934,Archaea,Halobacterota,Halobacteria,Halobacterales,Halomicrobiaceae,uncultured,uncultured marine group IV euryarchaeote
Seq935,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Kangiellaceae,Kangiella,Kangiella chungangensis
Seq936,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA
Seq937,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,NA
Seq938,Bacteria,NA,NA,NA,NA,NA,NA
Seq939,Bacteria,NA,NA,NA,NA,NA,NA
Seq940,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq941,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopumilus,NA
Seq942,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,NA,NA
Seq943,Bacteria,NA,NA,NA,NA,NA,NA
Seq944,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Arctic97B-4 marine group,uncultured verrucomicrobium HF0070_15G23,NA,NA
Seq945,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq946,Bacteria,NB1-j,uncultured prokaryote,NA,NA,NA,NA
Seq947,Bacteria,NB1-j,uncultured prokaryote,NA,NA,NA,NA
Seq948,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq949,Bacteria,Chloroflexi,Dehalococcoidia,SAR202 clade,hydrothermal vent metagenome,NA,NA
Seq950,Bacteria,NA,NA,NA,NA,NA,NA
Seq951,Bacteria,Myxococcota,Polyangia,Blfdi19,uncultured marine bacterium,NA,NA
Seq952,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Nisaeaceae,OM75 clade,marine metagenome
Seq953,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Seq954,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
Seq955,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,uncultured,bioreactor metagenome
Seq956,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Oleispira,NA
Seq957,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,NA
Seq958,Bacteria,NA,NA,NA,NA,NA,NA
Seq959,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,uncultured marine group II euryarchaeote HF500_47D04,NA,NA
Seq960,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
Seq961,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,uncultured,uncultured marine microorganism,NA
Seq962,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,NA
Seq964,Bacteria,Desulfobacterota,Desulfuromonadia,PB19,NA,NA,NA
Seq965,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,uncultured organism
Seq966,Bacteria,NA,NA,NA,NA,NA,NA
Seq967,Bacteria,NA,NA,NA,NA,NA,NA
Seq968,Bacteria,Desulfobacterota,NA,NA,NA,NA,NA
Seq969,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,EF100-94H03,uncultured alpha proteobacterium EF100_94H03,NA
Seq970,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,NA
Seq971,Bacteria,NA,NA,NA,NA,NA,NA
Seq972,Bacteria,NA,NA,NA,NA,NA,NA
Seq973,Bacteria,NA,NA,NA,NA,NA,NA
Seq974,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,NA
Seq975,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,uncultured marine microorganism
Seq976,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
Seq977,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,uncultured Alphaproteobacteria bacterium
Seq978,Bacteria,Firmicutes,Bacilli,Lactobacillales,NA,NA,NA
Seq979,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,Pelagibacteraceae bacterium ETNP-OMZ-SAG-A7,NA
Seq980,Bacteria,NA,NA,NA,NA,NA,NA
Seq981,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA
Seq982,Bacteria,Proteobacteria,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,uncultured,NA
Seq983,Bacteria,Marinimicrobia (SAR406 clade),Marinimicrobia bacterium SCGC AAA003-L08,NA,NA,NA,NA
Seq984,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,uncultured,marine metagenome
Seq985,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Oceanicoccus,NA
Seq986,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,NS10 marine group,uncultured Bacteroidetes/Chlorobi group bacterium
Seq987,Bacteria,NA,NA,NA,NA,NA,NA
Seq988,Bacteria,Actinobacteriota,Actinobacteria,uncultured,uncultured organism,NA,NA
Seq989,Bacteria,Desulfobacterota,Desulfuromonadia,PB19,NA,NA,NA
Seq990,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,Marine Methylotrophic Group 3,uncultured deep-sea bacterium
Seq991,Bacteria,Actinobacteriota,Actinobacteria,NA,NA,NA,NA
Seq992,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
Seq993,Bacteria,NA,NA,NA,NA,NA,NA
Seq994,Bacteria,NA,NA,NA,NA,NA,NA
Seq995,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
Seq996,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq997,Bacteria,NA,NA,NA,NA,NA,NA
Seq998,Bacteria,NA,NA,NA,NA,NA,NA
Seq999,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,NA,NA
Seq1000,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
Seq1001,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,uncultured bacterium AD243-H1
Seq1002,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,NA
Seq1003,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Ulvibacter,uncultured bacterium ARCTIC16_F_12
Seq1004,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,uncultured,uncultured Oceanospirillales bacterium
Seq1005,Bacteria,Marinimicrobia (SAR406 clade),Marinimicrobia bacterium SCGC AAA003-E22,NA,NA,NA,NA
Seq1006,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,NA,NA,NA
Seq1007,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium MB13C05,NA,NA,NA,NA
Seq1008,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
Seq1009,Bacteria,NA,NA,NA,NA,NA,NA
Seq1010,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
Seq1012,Bacteria,NA,NA,NA,NA,NA,NA
Seq1013,Bacteria,Proteobacteria,Gammaproteobacteria,Francisellales,Francisellaceae,uncultured,uncultured marine bacterium
Seq1014,Bacteria,Patescibacteria,Parcubacteria,Candidatus Kaiserbacteria,uncultured prokaryote,NA,NA
Seq1015,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,NA,NA
Seq1016,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA
Seq1017,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,NA,NA
Seq1018,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,uncultured rhodophyte,NA,NA
Seq1019,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,NA
Seq1020,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Arctic97B-4 marine group,uncultured verrucomicrobium HF0500_16O23,NA,NA
Seq1021,Bacteria,Desulfobacterota,Desulfuromonadia,PB19,uncultured delta proteobacterium DeepAnt-32C6,NA,NA
Seq1022,Bacteria,NA,NA,NA,NA,NA,NA
Seq1023,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,NA
Seq1024,Bacteria,NA,NA,NA,NA,NA,NA
Seq1025,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA
Seq1026,Bacteria,Proteobacteria,Gammaproteobacteria,AT-s2-59,uncultured organism,NA,NA
Seq1027,Bacteria,Chloroflexi,Dehalococcoidia,SAR202 clade,SAR202 cluster bacterium SCGC AAA240-N13,NA,NA
Seq1028,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Seq1029,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,1174-901-12,NA
Seq1030,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,NA
Seq1031,Bacteria,NA,NA,NA,NA,NA,NA
Seq1032,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Roseibacillus,NA
Seq1033,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidocella,NA
Seq1034,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Seq1035,Bacteria,NA,NA,NA,NA,NA,NA
Seq1036,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,NA
Seq1037,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA
Seq1038,Bacteria,NA,NA,NA,NA,NA,NA
Seq1039,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,uncultured,Aquimarina versatilis
Seq1040,Bacteria,NA,NA,NA,NA,NA,NA
Seq1041,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group III,NA,NA,NA
Seq1042,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq1043,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Turicella,Corynebacterium otitidis
Seq1044,Bacteria,Marinimicrobia (SAR406 clade),Marinimicrobia bacterium SCGC AAA003-E22,NA,NA,NA,NA
Seq1045,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
Seq1046,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,uncultured,uncultured marine bacterium
Seq1047,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,NA,NA
Seq1048,Bacteria,NA,NA,NA,NA,NA,NA
Seq1049,Bacteria,Proteobacteria,Gammaproteobacteria,Francisellales,Francisellaceae,uncultured,uncultured marine bacterium
Seq1050,Bacteria,NA,NA,NA,NA,NA,NA
Seq1051,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq1052,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq1053,Bacteria,Firmicutes,Bacilli,NA,NA,NA,NA
Seq1054,Bacteria,Desulfobacterota,Desulfuromonadia,PB19,uncultured deep-sea bacterium,NA,NA
